Republican_percent,Republican_number,Democratic_percent,Democratic_number,State,year,President
48.35,2178391,50.39,2270395,NC,2012,Barack Obama
38.69,124827,58.32,188163,ND,2012,Barack Obama
50.67,2827709,47.69,2661437,OH,2012,Barack Obama
33.23,443547,66.77,891325,OK,2012,Barack Obama
54.24,970488,42.15,754175,OR,2012,Barack Obama
51.97,2990274,46.59,2680434,PA,2012,Barack Obama
62.7,279677,35.24,157204,RI,2012,Barack Obama
44.09,865941,54.56,1071645,SC,2012,Barack Obama
39.87,145039,57.89,210610,SD,2012,Barack Obama
39.08,960709,59.48,1462330,TN,2012,Barack Obama
41.38,3308124,57.17,4569843,TX,2012,Barack Obama
24.75,251813,72.79,740600,UT,2012,Barack Obama
66.57,199239,30.97,92698,VT,2012,Barack Obama
51.16,1971820,47.28,1822522,VA,2012,Barack Obama
56.16,1755396,41.29,1290670,WA,2012,Barack Obama
35.54,238269,62.3,417655,WV,2012,Barack Obama
52.83,1620985,45.89,1407966,WI,2012,Barack Obama
27.82,69286,68.64,170962,WY,2012,Barack Obama
51.06,65915795,47.2,60933504,United States,2012,Barack Obama
34.36,729547,62.08,1318255,AL,2016,Donald Trump
36.55,116454,51.28,163387,AK,2016,Donald Trump
45.13,1161167,48.67,1252401,AZ,2016,Donald Trump
33.65,380494,60.57,684872,AR,2016,Donald Trump
61.73,8753788,31.62,4483810,CA,2016,Donald Trump
48.16,1338870,43.25,1202484,CO,2016,Donald Trump
54.57,897572,40.93,673215,CT,2016,Donald Trump
53.18,235603,41.79,185127,DE,2016,Donald Trump
90.48,282830,4.07,12723,DC,2016,Donald Trump
47.82,4504975,49.02,4617886,FL,2016,Donald Trump
45.64,1877963,50.77,2089104,GA,2016,Donald Trump
62.22,266891,30.03,128847,HI,2016,Donald Trump
27.49,189765,59.26,409055,ID,2016,Donald Trump
55.83,3090729,38.76,2146015,IL,2016,Donald Trump
37.91,1033126,56.82,1557286,IN,2016,Donald Trump
41.74,653669,51.15,800983,IA,2016,Donald Trump
36.05,427005,56.65,671018,KS,2016,Donald Trump
32.68,628854,62.52,1202971,KY,2016,Donald Trump
38.45,780154,58.09,1178638,LA,2016,Donald Trump
47.83,357735,44.87,335593,ME,2016,Donald Trump
60.33,1677928,33.91,943169,MD,2016,Donald Trump
60.01,1995196,32.81,1090893,MA,2016,Donald Trump
47.27,2268839,47.5,2279543,MI,2016,Donald Trump
46.44,1367716,44.92,1322951,MN,2016,Donald Trump
40.11,485131,57.94,700714,MS,2016,Donald Trump
38.14,1071068,56.77,1594511,MO,2016,Donald Trump
35.75,177709,56.17,279240,MT,2016,Donald Trump
33.7,284494,58.75,495961,NE,2016,Donald Trump
47.92,539260,45.5,512058,NV,2016,Donald Trump
46.98,348526,46.61,345790,NH,2016,Donald Trump
54.99,2148278,41,1601933,NJ,2016,Donald Trump
48.26,385234,40.04,319667,NM,2016,Donald Trump
58.4,4547562,36.15,2814589,NY,2016,Donald Trump
46.17,2189316,49.83,2362631,NC,2016,Donald Trump
27.23,93758,62.96,216794,ND,2016,Donald Trump
43.56,2394164,51.69,2841005,OH,2016,Donald Trump
28.93,420375,65.32,949136,OK,2016,Donald Trump
50.07,1002106,39.09,782403,OR,2016,Donald Trump
47.85,2926441,48.58,2970733,PA,2016,Donald Trump
54.41,252525,38.9,180543,RI,2016,Donald Trump
40.67,855373,54.94,1155389,SC,2016,Donald Trump
31.74,117458,61.53,227721,SD,2016,Donald Trump
34.72,870695,60.72,1522925,TN,2016,Donald Trump
43.24,3877868,52.23,4685047,TX,2016,Donald Trump
27.46,310676,45.54,515231,UT,2016,Donald Trump
55.72,178573,29.76,95369,VT,2016,Donald Trump
49.75,1981473,44.43,1769443,VA,2016,Donald Trump
54.3,1742718,38.07,1221747,WA,2016,Donald Trump
26.48,188794,68.63,489371,WV,2016,Donald Trump
46.45,1382536,47.22,1405284,WI,2016,Donald Trump
21.63,55973,67.4,174419,WY,2016,Donald Trump
48.03,65853625,45.94,62985106,US,2016,Donald Trump
